name,year,Price,kms_driven,fuel_type,transmission,owner
Hyundai Eon,2013,"1,90,000","25,000 kms",Petrol,Manual,First Owner
Tata Indigo eCS LS CR4 BS IV,2017,"2,00,000","1,30,000 kms",Diesel,Manual,Third Owner
Ford EcoSport Ambiente 1.5L TDCi,2016,"8,30,000","24,530 kms",Diesel,Manual,First Owner
Tata Indigo eCS LS CR4 BS IV,2017,"2,00,000","1,30,000 kms",Diesel,Manual,Second Owner
Mahindra Scorpio SLE BS IV,2012,"5,70,000","19,000 kms",Diesel,Manual,Third Owner
Volkswagen Polo Highline Exquisite P,2014,"3,15,000","60,000 kms",Petrol,Manual,First Owner
Skoda Fabia Classic 1.2 MPI,2010,"1,82,000","60,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Stingray VXi,2015,"3,15,000","30,000 kms",Petrol,Manual,First Owner
I want to sell my car Tata Zest,2017,Ask For Price,,,Automatic,First Owner
Chevrolet Spark LS 1.0,2010,"1,10,000","41,000 kms",Petrol,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2012,"5,01,000","35,000 kms",Diesel,Manual,First Owner
Honda City,2015,"4,48,999","54,000 kms",Petrol,Automatic,First Owner
Mini Cooper S 1.6,2013,"18,91,111","13,000 kms",Petrol,Manual,Second Owner
Datsun Redi GO S,2017,"2,35,000","16,000 kms",Petrol,Manual,First Owner
Skoda Fabia 1.2L Diesel Ambiente,2011,"1,59,500","38,200 kms",Diesel,Manual,Second Owner
Honda Amaze,2015,"3,44,999","22,000 kms",Petrol,Manual,Second Owner
Honda Amaze,2015,"3,44,999","22,000 kms",Petrol,Manual,Second Owner
Renault Duster,2014,"4,49,999","50,000 kms",Diesel,Manual,First Owner
Mini Cooper S 1.6,2013,"18,91,111","13,500 kms",Petrol,Manual,First Owner
Mahindra Scorpio S4,2015,"8,65,000","30,000 kms",Diesel,Manual,First Owner
Mahindra Scorpio VLX 2WD BS IV,2014,"6,99,000","50,000 kms",Diesel,Manual,First Owner
Mahindra Quanto C8,2013,"3,75,000","20,000 kms",Diesel,Automatic,Second Owner
Ford EcoSport,2017,"4,89,999","39,000 kms",Petrol,Manual,First Owner
Honda Brio,2012,"2,24,999","30,000 kms",Petrol,Manual,First Owner
I want to sell my car Tata Zest,2017,Ask For Price,,,Manual,First Owner
Volkswagen Vento Highline Plus 1.5 Diesel AT,2019,"12,00,000","3,600 kms",Diesel,Manual,First Owner
Hyundai i20 Magna,2009,"1,95,000","32,000 kms",Petrol,Manual,First Owner
Toyota Corolla Altis Diesel D4DG,2010,"3,51,000","38,000 kms",Diesel,Manual,First Owner
Hyundai Verna Transform SX VTVT,2008,"1,60,000","45,000 kms",Petrol,Manual,First Owner
Toyota Corolla Altis Petrol Ltd,2009,"2,40,000","35,000 kms",Petrol,Manual,First Owner
Honda City 1.5 EXi New,2005,90000,"50,000 kms",Petrol,Manual,First Owner
Hyundai Elite i20 Magna 1.2,2014,"4,15,000","32,000 kms",Petrol,Manual,Second Owner
Skoda Fabia 1.2L Diesel Elegance,2011,"1,55,000","45,863 kms",Diesel,Manual,Second Owner
BMW 3 Series 320i,2011,"6,00,000","60,500 kms",Petrol,Manual,First Owner
Maruti Suzuki A Star Lxi,2011,"1,89,500","12,500 kms",Petrol,Manual,First Owner
Toyota Etios GD,2013,"3,50,000","60,000 kms",Diesel,Manual,First Owner
Ford Figo Diesel EXI Option,2012,"2,10,000","35,000 kms",Diesel,Automatic,First Owner
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2014,"3,90,000","35,000 kms",Petrol,Manual,Third Owner
Chevrolet Beat LT Diesel,2012,"1,35,000","45,000 kms",Diesel,Manual,First Owner
BMW 7 Series 740Li Sedan,2009,"16,00,000","35,000 kms",Petrol,Manual,Second Owner
Mahindra XUV500 W8 AWD 2013,2013,"7,01,000","38,000 kms",Diesel,Manual,Second Owner
Hyundai i10 Magna 1.2,2014,"2,65,000","18,000 kms",Petrol,Manual,First Owner
Hyundai Verna Fluidic New,2015,"5,25,000","35,000 kms",Diesel,Manual,Third Owner
Maruti Suzuki Swift VXi 1.2 BS IV,2013,"3,72,000","13,349 kms",Petrol,Manual,First Owner
Maruti Suzuki Ertiga ZXI Plus,2016,"6,35,000","29,000 kms",Petrol,Automatic,Second Owner
Ford EcoSport Titanium 1.5L TDCi,2014,"5,50,000","44,000 kms",Diesel,Manual,Second Owner
Maruti Suzuki Ertiga Vxi,2016,"5,75,000","29,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Ertiga VDi,2013,"4,85,000","42,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Alto LXi BS III,2012,"1,55,000","14,000 kms",Petrol,Manual,First Owner
Hyundai Grand i10 Asta 1.1 CRDi,2014,"3,45,000","49,000 kms",Diesel,Manual,First Owner
Honda Amaze 1.2 S i VTEC,2014,"3,25,000","42,000 kms",Petrol,Manual,First Owner
Hyundai i20 Asta 1.4 CRDI 6 Speed,2012,"3,29,500","36,200 kms",Diesel,Manual,Second Owner
Ford Figo Diesel EXI,2014,"1,95,000","50,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Eeco 5 STR WITH AC HTR,2015,"2,51,111","55,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Ertiga ZXi,2014,"5,69,999","45,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Esteem LXi BS III,2007,69999,"51,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Ritz VXI,2014,"2,99,999","19,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Dzire,2009,"2,20,000","46,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Ritz LDi,2013,"3,99,999","33,000 kms",Diesel,Manual,Second Owner
Maruti Suzuki Swift VXi 1.2 BS IV,2013,"3,72,000","13,349 kms",Petrol,Manual,Third Owner
Maruti Suzuki Dzire VDI,2015,"4,50,000","1,04,000 kms",Diesel,Manual,First Owner
Toyota Etios Liva G,2014,"2,70,000","55,000 kms",Petrol,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDI,2011,"3,50,000","33,333 kms",Diesel,Manual,Fourth & Above Owner
Chevrolet Spark,2012,"1,58,400","33,600 kms",Petrol,Manual,First Owner
Maruti Suzuki Alto K10 VXi AMT,2017,"3,50,000","5,600 kms",Petrol,Manual,Second Owner
Nissan Micra XV,2011,"1,79,000","41,000 kms",Petrol,Manual,Fourth & Above Owner
Maruti Suzuki Swift,2007,"1,25,000","70,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Alto 800,2018,"2,00,000","7,500 kms",Petrol,Manual,Second Owner
Honda Amaze 1.5 S i DTEC,2013,"2,99,000","45,000 kms",Diesel,Manual,Second Owner
Maruti Suzuki Alto 800 Vxi,2015,"2,20,000","38,000 kms",Petrol,Manual,First Owner
Chevrolet Beat,2015,"1,50,000","30,000 kms",Petrol,Automatic,First Owner
Toyota Corolla,2009,"2,75,000","26,000 kms",,Automatic,First Owner
Honda City 1.5 V MT,2010,"2,85,000","35,000 kms",Petrol,Automatic,First Owner
Ford EcoSport Trend 1.5L TDCi,2016,"8,30,000","24,330 kms",Diesel,Automatic,First Owner
Hyundai i20 Asta 1.2,2009,"2,10,000","65,480 kms",Petrol,Automatic,First Owner
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2013,"3,40,000","41,000 kms",Petrol,Automatic,First Owner
Tata Indica V2 eLS,2006,90000,"20,000 kms",Petrol,Automatic,First Owner
Maruti Suzuki Alto 800 Lxi,2018,Ask For Price,"28,028 kms",Petrol,Automatic,First Owner
Hindustan Motors Ambassador,2000,70000,"2,00,000 kms",Diesel,Automatic,First Owner
Toyota Corolla Altis 1.8 GL,2010,"2,89,999","70,000 kms",Petrol,Automatic,First Owner
Toyota Corolla Altis 1.8 J,2012,"3,49,999","59,000 kms",Petrol,Automatic,First Owner
Toyota Innova 2.5 GX BS IV 7 STR,2012,"8,49,999","99,000 kms",Diesel,Automatic,First Owner
Volkswagen Jetta Highline TDI AT,2014,"7,49,999","46,000 kms",Diesel,Automatic,First Owner
Volkswagen Polo Comfortline 1.2L P,2015,"3,99,999","2,800 kms",Petrol,Automatic,First Owner
Volkswagen Polo,2014,"2,74,999","32,000 kms",Petrol,Automatic,First Owner
Mahindra Scorpio,2015,"9,84,999","22,000 kms",Diesel,Automatic,First Owner
Renault Duster,2014,"4,49,999","50,000 kms",Diesel,Manual,First Owner
Honda Amaze,2015,"3,44,999","22,000 kms",Petrol,Automatic,First Owner
Nissan Sunny,2012,"2,24,999","45,000 kms",Petrol,Automatic,Second Owner
Hyundai Elite i20,2018,"5,99,999","21,000 kms",Petrol,Manual,First Owner
Renault Kwid,2016,"2,44,999","11,000 kms",Petrol,Automatic,First Owner
Renault Duster,2013,"3,99,999","41,000 kms",Diesel,Manual,First Owner
Ford EcoSport,2017,"4,89,999","39,000 kms",Petrol,Manual,First Owner
Renault Duster,2014,"4,74,999","50,000 kms",Diesel,Manual,First Owner
Mahindra Scorpio VLX Airbag,2011,"4,99,999","66,000 kms",Diesel,Automatic,First Owner
Maruti Suzuki Alto 800 Lxi,2018,"3,10,000","3,000 kms",Petrol,Automatic,First Owner
Chevrolet Spark LT 1.0,2010,85000,"45,000 kms",Petrol,Manual,First Owner
Datsun Redi GO T O,2016,"2,45,000","7,000 kms",Petrol,Automatic,First Owner
Maruti Suzuki Swift RS VDI,2010,"1,89,500","38,500 kms",Diesel,Automatic,First Owner
Fiat Punto Emotion 1.2,2012,"1,69,500","37,200 kms",Diesel,Automatic,First Owner
Maruti Suzuki Swift RS VDI,2010,"1,59,500","43,200 kms",Diesel,Manual,First Owner
Toyota Etios GD,2013,"2,75,000","24,800 kms",Petrol,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDI,2014,"3,70,000","60,000 kms",Diesel,Automatic,Second Owner
Hyundai i10 Sportz 1.2,2010,"1,68,000","45,872 kms",Petrol,Automatic,First Owner
Chevrolet Beat LT Opt Diesel,2011,"1,50,000","40,000 kms",Diesel,Automatic,First Owner
Chevrolet Beat LS Diesel,2011,"1,45,000","45,000 kms",Diesel,Automatic,First Owner
Chevrolet Beat LT Diesel,2012,98500,"38,000 kms",Diesel,Automatic,First Owner
Mahindra Scorpio VLX 2WD BS IV,2014,"6,99,000","50,000 kms",Diesel,Automatic,First Owner
Tata Indigo CS,2011,85000,"11,400 kms",Diesel,Manual,First Owner
Toyota Corolla Altis 1.8 J,2015,"5,75,000","42,000 kms",Petrol,Automatic,First Owner
Honda City 1.5 V MT,2014,"5,49,000","39,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Swift VDi,2011,"2,09,000","47,000 kms",Diesel,Manual,First Owner
Hyundai Eon Era Plus,2013,"1,85,000","27,000 kms",Petrol,Manual,First Owner
Mahindra Scorpio S10,2015,"9,00,000","97,200 kms",Diesel,Manual,First Owner
Mahindra XUV500,2014,"6,99,999","52,000 kms",Diesel,Automatic,Second Owner
Honda Brio,2012,"2,24,999","30,000 kms",Petrol,Manual,Second Owner
Ford Fiesta,2011,"2,74,999","55,000 kms",Diesel,Manual,Second Owner
Honda Amaze,2013,"2,84,999","46,000 kms",Diesel,Manual,First Owner
Honda City,2015,"5,99,999","30,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Wagon R,2012,"1,99,999","44,000 kms",Petrol,Manual,First Owner
Honda City,2014,"5,44,999","45,000 kms",Diesel,Manual,Second Owner
Hyundai i20,2009,"1,99,000","31,000 kms",Petrol,Manual,First Owner
Tata Indigo eCS LX TDI BS III,2016,"3,20,000","1,75,430 kms",Diesel,Manual,Second Owner
Hyundai Fluidic Verna 1.6 CRDi SX,2015,"5,40,000","38,000 kms",Diesel,Manual,Second Owner
"Commercial , DZire LDI, 2016, for sale",...,Ask For Price,,,Manual,First Owner
Mahindra Quanto C8,2013,"3,40,000","37,000 kms",Diesel,Manual,First Owner
Fiat Petra ELX 1.2 PS,2008,75000,"65,000 kms",Petrol,Manual,Second Owner
Skoda Fabia 1.2L Diesel Ambiente,2011,"1,59,500","38,200 kms",Diesel,Manual,Second Owner
Mini Cooper S 1.6,2013,"18,91,111","13,000 kms",Petrol,Manual,First Owner
Hyundai Santro Xing XS,2005,49000,"7,500 kms",Petrol,Manual,Second Owner
Maruti Suzuki Ciaz VXi Plus,2016,"7,00,000","3,350 kms",Petrol,Manual,First Owner
Maruti Suzuki Zen VX,2000,55000,"60,000 kms",Petrol,Manual,Second Owner
Honda City,2015,"4,48,999","54,000 kms",Petrol,Manual,Third Owner
Hyundai Creta 1.6 SX Plus Petrol,2017,"8,95,000","32,000 kms",Petrol,Manual,Second Owner
"Tata indigo ecs LX, 201",150k,"1,50,000",,,Manual,First Owner
Mahindra Scorpio SLX,2007,"3,55,000","75,000 kms",Diesel,Manual,First Owner
Mahindra Scorpio SLE BS IV,2012,"5,65,000","62,000 kms",Diesel,Manual,First Owner
Toyota Innova 2.5 G BS III 8 STR,2006,"3,65,000","73,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Alto K10 VXi AMT,2011,"1,45,000","41,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Wagon R LXI BS IV,2011,"2,10,000","35,000 kms",Petrol,Manual,First Owner
Tata Nano Cx BSIV,2013,40000,"2,200 kms",Petrol,Manual,First Owner
Maruti Suzuki Alto Std BS IV,2013,"1,25,000","39,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Wagon R LXi BS III,2009,"1,35,000","45,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Swift VXI BSIII,2006,"1,35,000","45,000 kms",Petrol,Manual,First Owner
Tata Sumo Victa EX 10 by 7 Str BSIII,2012,"2,85,000","65,000 kms",Diesel,Manual,First Owner
MARUTI SUZUKI DESI,TOUR,"4,00,000",,,Manual,Second Owner
Maruti Suzuki Wagon R LXi BS III,2010,"1,45,000","54,870 kms",Petrol,Automatic,First Owner
Maruti Suzuki Alto LXi BS III,2010,"1,35,000","34,580 kms",Petrol,Manual,First Owner
Volkswagen Passat Diesel Comfortline AT,2009,"4,50,000","97,000 kms",Diesel,Manual,First Owner
Renault Scala RxL Diesel Travelogue,2015,"3,75,000","25,000 kms",Diesel,Automatic,First Owner
Mahindra Quanto C8,2013,"3,75,000","20,000 kms",Diesel,Manual,First Owner
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,2014,"3,65,000","20,000 kms",Petrol,Manual,First Owner
Hyundai i20 Active 1.2 SX,2015,"5,00,000","18,000 kms",Petrol,Manual,Second Owner
Mahindra Xylo E4,2012,"4,00,000","35,000 kms",Diesel,Manual,First Owner
Mahindra Jeep MM 550 XDB,2019,"3,90,000",60 kms,Diesel,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2012,"5,01,000","35,000 kms",Diesel,Automatic,First Owner
Mahindra Bolero SLE BS IV,2013,"3,30,000","80,200 kms",Diesel,Manual,First Owner
Force Motors Force One LX ABS 7 STR,2015,"5,80,000","3,200 kms",Diesel,Automatic,First Owner
Maruti Suzuki SX4,2012,"2,65,000","46,000 kms",Diesel,Manual,First Owner
Mahindra Jeep CL550 MDI,2019,"3,79,000","0,000 kms",Diesel,Manual,Second Owner
Maruti Suzuki Alto 800,2015,"2,19,000","5,000 kms",Petrol,Manual,First Owner
Mahindra Jeep CL550 MDI,2018,"3,85,000",588 kms,Diesel,Manual,Second Owner
Toyota Etios,2011,"2,75,000","36,000 kms",Diesel,Manual,First Owner
Volkswagen Polo,2015,"3,30,000","38,000 kms",Diesel,Manual,First Owner
Honda City ZX VTEC,2008,"1,10,000","45,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Wagon R LX BS III,2006,80000,"71,200 kms",Petrol,Manual,Second Owner
Honda City VX O MT Diesel,2016,"5,19,000","52,000 kms",Diesel,Manual,First Owner
Mahindra Thar CRDe 4x4 AC,2016,"7,30,000","29,000 kms",Diesel,Manual,Second Owner
Mitsubishi Pajero Sport Limited Edition,2015,"14,75,000","47,000 kms",Diesel,Manual,First Owner
Audi A4 1.8 TFSI Multitronic Premium Plus,2009,"6,99,000","47,000 kms",Petrol,Manual,First Owner
Mercedes Benz GLA Class 200 CDI Sport,2015,"20,00,000","20,000 kms",Diesel,Manual,First Owner
Land Rover Freelander 2 SE,2015,"21,00,000","30,000 kms",Diesel,Manual,First Owner
Renault Kwid RXT,2017,"3,40,000","5,000 kms",Petrol,Manual,First Owner
Tata Aria Pleasure 4X2,2014,"3,90,000","35,000 kms",Diesel,Manual,Second Owner
Mercedes Benz B Class B180 Sports,2014,"14,00,000","31,000 kms",Petrol,Manual,Second Owner
Datsun GO T O,2016,"2,45,000","7,000 kms",Petrol,Manual,First Owner
Tata Indigo eCS LX TDI BS III,2016,"3,20,000","1,75,430 kms",Diesel,Manual,First Owner
Tata Indigo eCS LX TDI BS III,2016,"3,20,000","1,75,400 kms",Diesel,Manual,First Owner
Honda Jazz VX MT,2016,"4,50,000","41,000 kms",Petrol,Manual,First Owner
Honda Amaze 1.2 S i VTEC,2014,"3,11,000","33,000 kms",Petrol,Manual,First Owner
Honda Amaze,2013,"2,84,999","46,000 kms",Diesel,Manual,First Owner
Honda City,2012,"3,99,999","45,000 kms",Petrol,Manual,Second Owner
Honda City,2015,"5,99,999","39,000 kms",Diesel,Manual,First Owner
Honda Amaze,2015,"3,44,999","22,000 kms",Petrol,Manual,First Owner
Audi A4 1.8 TFSI Multitronic Premium Plus,2009,"6,99,000","47,000 kms",Petrol,Manual,First Owner
Force Motors Force One LX ABS 7 STR,2015,"5,80,000","3,200 kms",Diesel,Automatic,First Owner
Mahindra Scorpio S4,2015,"8,55,000","30,000 kms",Diesel,Manual,Second Owner
Hyundai i20 Active 1.4L SX O,2015,"5,35,000","37,000 kms",Diesel,Manual,Second Owner
Mini Cooper S,2013,"18,91,111","13,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Ciaz ZXI Plus,2017,"6,99,000","14,000 kms",Petrol,Manual,Second Owner
Chevrolet Tavera Neo,2013,"3,75,000","55,000 kms",Diesel,Manual,Second Owner
Honda Amaze,2013,"2,84,999","46,000 kms",Diesel,Manual,Second Owner
Hyundai Eon Sportz,2012,"1,78,000","30,000 kms",Petrol,Manual,First Owner
Tata Sumo Gold Select Variant,2013,"3,00,000","50,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Wagon R 1.0,2003,90000,"45,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Esteem VXi BS III,2006,95000,"45,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Eeco 5 STR WITH AC HTR,2015,"2,55,000","9,300 kms",Petrol,Automatic,First Owner
Chevrolet Enjoy 1.4 LS 8 STR,2013,"2,45,000","55,000 kms",Diesel,Manual,First Owner
Hyundai i20 Asta 1.4 CRDI 6 Speed,2012,"3,29,500","36,200 kms",Diesel,Manual,First Owner
Ford Figo Diesel EXI,2014,"1,95,000","50,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Eeco 5 STR WITH AC HTR,2015,"2,51,111","55,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Ertiga ZXi,2014,"5,69,999","45,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Esteem LXi BS III,2007,69999,"51,000 kms",Petrol,Manual,First Owner
Maruti Suzuki Ritz VXI,2014,"2,99,999","19,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Dzire,2009,"2,20,000","46,000 kms",Petrol,Manual,Second Owner
Maruti Suzuki Ritz LDi,2013,"3,99,999","33,000 kms",Diesel,Manual,First Owner
Maruti Suzuki SX4 ZXI MT,2010,"2,49,999","36,000 kms",Petrol,Automatic,Second Owner
Maruti Suzuki Wagon R 1.0 VXi,2015,"2,89,999","22,000 kms",Petrol,Manual,First Owner
Mini Cooper S 1.6,2013,"18,91,111","13,500 kms",Petrol,Manual,First Owner
Nissan Terrano XL D Plus,2015,"4,99,999","60,000 kms",Diesel,Manual,First Owner
Renault Duster 85 PS RxE Diesel,2013,"4,89,999","27,000 kms",Diesel,Manual,First Owner
Renault Duster 85 PS RxE Diesel,2014,"4,89,999","59,000 kms",Diesel,Manual,First Owner
Renault Duster 85 PS RxL Diesel,2015,"5,49,999","19,000 kms",Diesel,Manual,First Owner
Maruti Suzuki Dzire ZXI,2013,"3,80,000","30,000 kms",Petrol,Manual,First Owner
Renault Kwid RXT Opt,2018,"3,25,000","15,000 kms",Petrol,Manual,Fourth & Above Owner
Maruti Suzuki Maruti 800 Std,2003,57000,"56,758 kms",Petrol,Manual,First Owner
Renault Kwid 1.0 RXT AMT,2018,"3,49,999","10,000 kms",Petrol,Manual,First Owner
Renault Lodgy 85 PS RXL,2018,"6,89,999","20,000 kms",Diesel,Manual,First Owner
Renault Scala RxL Diesel,2014,"3,49,999","49,000 kms",Diesel,Manual,First Owner
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,2014,"4,10,000","41,000 kms",Petrol,Manual,Third Owner
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2011,"2,25,000","45,000 kms",Petrol,Manual,First Owner
Chevrolet Beat LS Petrol,2010,"1,20,000","43,000 kms",Petrol,Automatic,First Owner
Tata Indigo eCS LX TDI BS III,2016,"3,20,000","1,75,430 kms",Diesel,Manual,First Owner
Hyundai Santro Xing XO eRLX Euro III,2000,59000,"56,450 kms",Petrol,Manual,Second Owner
Hyundai Fluidic Verna 1.6 CRDi SX,2015,"5,40,000","38,000 kms",Diesel,Manual,Third Owner
"Commercial , DZire LDI, 2016, for sale",...,Ask For Price,,,Manual,Second Owner
Chevrolet Beat LS Petrol,2010,80000,"56,000 kms",Petrol,Manual,Second Owner
Mahindra Quanto C8,2013,"3,40,000","37,000 kms",Diesel,Automatic,First Owner
Fiat Petra ELX 1.2 PS,2008,75000,"65,000 kms",Petrol,Manual,First Owner
Chevrolet Beat LS Petrol,2015,"2,20,000","32,700 kms",Petrol,Manual,First Owner
