,name,year,Price,kms_driven,fuel_type,transmission,owner
55,Maruti Suzuki Swift,2017,220000,30874,Petrol,Automatic,Second Owner
56,Honda City ZX,2017,170000,15000,Diesel,Automatic,First Owner
57,Maruti Suzuki Wagon,2013,85000,29685,Petrol,Automatic,First Owner
58,Ford Figo,2012,175000,41000,Diesel,Automatic,First Owner
59,Hyundai Eon,2013,190000,25000,Petrol,Manual,First Owner
60,Tata Indigo eCS,2017,200000,130000,Diesel,Manual,Third Owner
61,Ford EcoSport Ambiente,2016,830000,24530,Diesel,Manual,First Owner
62,Tata Indigo eCS,2017,200000,130000,Diesel,Manual,Second Owner
63,Mahindra Scorpio SLE,2012,570000,19000,Diesel,Manual,Third Owner
64,Volkswagen Polo Highline,2014,315000,60000,Petrol,Manual,First Owner
65,Skoda Fabia Classic,2010,182000,60000,Petrol,Manual,First Owner
66,Maruti Suzuki Stingray,2015,315000,30000,Petrol,Manual,First Owner
67,Chevrolet Spark LS,2010,110000,41000,Petrol,Manual,First Owner
68,Renault Duster 110PS,2012,501000,35000,Diesel,Manual,First Owner
69,Honda City,2015,448999,54000,Petrol,Automatic,First Owner
70,Mini Cooper S,2013,1891111,13000,Petrol,Manual,Second Owner
71,Datsun Redi GO,2017,235000,16000,Petrol,Manual,First Owner
72,Skoda Fabia 1.2L,2011,159500,38200,Diesel,Manual,Second Owner
73,Honda Amaze,2015,344999,22000,Petrol,Manual,Second Owner
74,Honda Amaze,2015,344999,22000,Petrol,Manual,Second Owner
75,Renault Duster,2014,449999,50000,Diesel,Manual,First Owner
76,Mini Cooper S,2013,1891111,13500,Petrol,Manual,First Owner
77,Mahindra Scorpio S4,2015,865000,30000,Diesel,Manual,First Owner
78,Mahindra Scorpio VLX,2014,699000,50000,Diesel,Manual,First Owner
79,Mahindra Quanto C8,2013,375000,20000,Diesel,Automatic,Second Owner
80,Ford EcoSport,2017,489999,39000,Petrol,Manual,First Owner
81,Honda Brio,2012,224999,30000,Petrol,Manual,First Owner
82,Volkswagen Vento Highline,2019,1200000,3600,Diesel,Manual,First Owner
83,Hyundai i20 Magna,2009,195000,32000,Petrol,Manual,First Owner
84,Toyota Corolla Altis,2010,351000,38000,Diesel,Manual,First Owner
85,Hyundai Verna Transform,2008,160000,45000,Petrol,Manual,First Owner
86,Toyota Corolla Altis,2009,240000,35000,Petrol,Manual,First Owner
87,Honda City 1.5,2005,90000,50000,Petrol,Manual,First Owner
88,Hyundai Elite i20,2014,415000,32000,Petrol,Manual,Second Owner
89,Skoda Fabia 1.2L,2011,155000,45863,Diesel,Manual,Second Owner
90,BMW 3 Series,2011,600000,60500,Petrol,Manual,First Owner
91,Maruti Suzuki A,2011,189500,12500,Petrol,Manual,First Owner
92,Toyota Etios GD,2013,350000,60000,Diesel,Manual,First Owner
93,Ford Figo Diesel,2012,210000,35000,Diesel,Automatic,First Owner
94,Maruti Suzuki Swift,2014,390000,35000,Petrol,Manual,Third Owner
95,Chevrolet Beat LT,2012,135000,45000,Diesel,Manual,First Owner
96,BMW 7 Series,2009,1600000,35000,Petrol,Manual,Second Owner
97,Mahindra XUV500 W8,2013,701000,38000,Diesel,Manual,Second Owner
98,Hyundai i10 Magna,2014,265000,18000,Petrol,Manual,First Owner
99,Hyundai Verna Fluidic,2015,525000,35000,Diesel,Manual,Third Owner
100,Maruti Suzuki Swift,2013,372000,13349,Petrol,Manual,First Owner
101,Maruti Suzuki Ertiga,2016,635000,29000,Petrol,Automatic,Second Owner
102,Ford EcoSport Titanium,2014,550000,44000,Diesel,Manual,Second Owner
103,Maruti Suzuki Ertiga,2016,575000,29000,Petrol,Manual,First Owner
104,Maruti Suzuki Ertiga,2013,485000,42000,Diesel,Manual,First Owner
105,Maruti Suzuki Alto,2012,155000,14000,Petrol,Manual,First Owner
106,Hyundai Grand i10,2014,345000,49000,Diesel,Manual,First Owner
107,Honda Amaze 1.2,2014,325000,42000,Petrol,Manual,First Owner
108,Hyundai i20 Asta,2012,329500,36200,Diesel,Manual,Second Owner
109,Ford Figo Diesel,2014,195000,50000,Diesel,Manual,First Owner
110,Maruti Suzuki Eeco,2015,251111,55000,Petrol,Manual,Second Owner
111,Maruti Suzuki Ertiga,2014,569999,45000,Petrol,Manual,First Owner
112,Maruti Suzuki Esteem,2007,69999,51000,Petrol,Manual,First Owner
113,Maruti Suzuki Ritz,2014,299999,19000,Petrol,Manual,First Owner
114,Maruti Suzuki Dzire,2009,220000,46000,Petrol,Manual,First Owner
115,Maruti Suzuki Ritz,2013,399999,33000,Diesel,Manual,Second Owner
116,Maruti Suzuki Swift,2013,372000,13349,Petrol,Manual,Third Owner
117,Maruti Suzuki Dzire,2015,450000,104000,Diesel,Manual,First Owner
118,Toyota Etios Liva,2014,270000,55000,Petrol,Manual,First Owner
119,Hyundai i20 Sportz,2011,350000,33333,Diesel,Manual,Fourth & Above Owner
120,Chevrolet Spark,2012,158400,33600,Petrol,Manual,First Owner
121,Maruti Suzuki Alto,2017,350000,5600,Petrol,Manual,Second Owner
122,Nissan Micra XV,2011,179000,41000,Petrol,Manual,Fourth & Above Owner
123,Maruti Suzuki Swift,2007,125000,70000,Petrol,Manual,Second Owner
124,Maruti Suzuki Alto,2018,200000,7500,Petrol,Manual,Second Owner
125,Honda Amaze 1.5,2013,299000,45000,Diesel,Manual,Second Owner
126,Maruti Suzuki Alto,2015,220000,38000,Petrol,Manual,First Owner
127,Chevrolet Beat,2015,150000,30000,Petrol,Automatic,First Owner
128,Honda City 1.5,2010,285000,35000,Petrol,Automatic,First Owner
129,Ford EcoSport Trend,2016,830000,24330,Diesel,Automatic,First Owner
130,Hyundai i20 Asta,2009,210000,65480,Petrol,Automatic,First Owner
131,Maruti Suzuki Swift,2013,340000,41000,Petrol,Automatic,First Owner
132,Tata Indica V2,2006,90000,20000,Petrol,Automatic,First Owner
133,Hindustan Motors Ambassador,2000,70000,200000,Diesel,Automatic,First Owner
134,Toyota Corolla Altis,2010,289999,70000,Petrol,Automatic,First Owner
135,Toyota Corolla Altis,2012,349999,59000,Petrol,Automatic,First Owner
136,Toyota Innova 2.5,2012,849999,99000,Diesel,Automatic,First Owner
137,Volkswagen Jetta Highline,2014,749999,46000,Diesel,Automatic,First Owner
138,Volkswagen Polo Comfortline,2015,399999,2800,Petrol,Automatic,First Owner
139,Volkswagen Polo,2014,274999,32000,Petrol,Automatic,First Owner
140,Mahindra Scorpio,2015,984999,22000,Diesel,Automatic,First Owner
141,Renault Duster,2014,449999,50000,Diesel,Manual,First Owner
142,Honda Amaze,2015,344999,22000,Petrol,Automatic,First Owner
143,Nissan Sunny,2012,224999,45000,Petrol,Automatic,Second Owner
144,Hyundai Elite i20,2018,599999,21000,Petrol,Manual,First Owner
145,Renault Kwid,2016,244999,11000,Petrol,Automatic,First Owner
146,Renault Duster,2013,399999,41000,Diesel,Manual,First Owner
147,Ford EcoSport,2017,489999,39000,Petrol,Manual,First Owner
148,Renault Duster,2014,474999,50000,Diesel,Manual,First Owner
149,Mahindra Scorpio VLX,2011,499999,66000,Diesel,Automatic,First Owner
150,Maruti Suzuki Alto,2018,310000,3000,Petrol,Automatic,First Owner
151,Chevrolet Spark LT,2010,85000,45000,Petrol,Manual,First Owner
152,Datsun Redi GO,2016,245000,7000,Petrol,Automatic,First Owner
153,Maruti Suzuki Swift,2010,189500,38500,Diesel,Automatic,First Owner
154,Fiat Punto Emotion,2012,169500,37200,Diesel,Automatic,First Owner
155,Maruti Suzuki Swift,2010,159500,43200,Diesel,Manual,First Owner
156,Toyota Etios GD,2013,275000,24800,Petrol,Manual,First Owner
157,Hyundai i20 Sportz,2014,370000,60000,Diesel,Automatic,Second Owner
158,Hyundai i10 Sportz,2010,168000,45872,Petrol,Automatic,First Owner
159,Chevrolet Beat LT,2011,150000,40000,Diesel,Automatic,First Owner
160,Chevrolet Beat LS,2011,145000,45000,Diesel,Automatic,First Owner
161,Chevrolet Beat LT,2012,98500,38000,Diesel,Automatic,First Owner
162,Mahindra Scorpio VLX,2014,699000,50000,Diesel,Automatic,First Owner
163,Tata Indigo CS,2011,85000,11400,Diesel,Manual,First Owner
164,Toyota Corolla Altis,2015,575000,42000,Petrol,Automatic,First Owner
165,Honda City 1.5,2014,549000,39000,Petrol,Manual,Second Owner
166,Maruti Suzuki Swift,2011,209000,47000,Diesel,Manual,First Owner
167,Hyundai Eon Era,2013,185000,27000,Petrol,Manual,First Owner
168,Mahindra Scorpio S10,2015,900000,97200,Diesel,Manual,First Owner
169,Mahindra XUV500,2014,699999,52000,Diesel,Automatic,Second Owner
170,Honda Brio,2012,224999,30000,Petrol,Manual,Second Owner
171,Ford Fiesta,2011,274999,55000,Diesel,Manual,Second Owner
172,Honda Amaze,2013,284999,46000,Diesel,Manual,First Owner
173,Honda City,2015,599999,30000,Diesel,Manual,First Owner
174,Maruti Suzuki Wagon,2012,199999,44000,Petrol,Manual,First Owner
175,Honda City,2014,544999,45000,Diesel,Manual,Second Owner
176,Hyundai i20,2009,199000,31000,Petrol,Manual,First Owner
177,Tata Indigo eCS,2016,320000,175430,Diesel,Manual,Second Owner
178,Hyundai Fluidic Verna,2015,540000,38000,Diesel,Manual,Second Owner
179,Mahindra Quanto C8,2013,340000,37000,Diesel,Manual,First Owner
180,Fiat Petra ELX,2008,75000,65000,Petrol,Manual,Second Owner
181,Skoda Fabia 1.2L,2011,159500,38200,Diesel,Manual,Second Owner
182,Mini Cooper S,2013,1891111,13000,Petrol,Manual,First Owner
183,Hyundai Santro Xing,2005,49000,7500,Petrol,Manual,Second Owner
184,Maruti Suzuki Ciaz,2016,700000,3350,Petrol,Manual,First Owner
185,Maruti Suzuki Zen,2000,55000,60000,Petrol,Manual,Second Owner
186,Honda City,2015,448999,54000,Petrol,Manual,Third Owner
187,Hyundai Creta 1.6,2017,895000,32000,Petrol,Manual,Second Owner
188,Mahindra Scorpio SLX,2007,355000,75000,Diesel,Manual,First Owner
189,Mahindra Scorpio SLE,2012,565000,62000,Diesel,Manual,First Owner
190,Toyota Innova 2.5,2006,365000,73000,Diesel,Manual,First Owner
191,Maruti Suzuki Alto,2011,145000,41000,Petrol,Manual,First Owner
192,Maruti Suzuki Wagon,2011,210000,35000,Petrol,Manual,First Owner
193,Tata Nano Cx,2013,40000,2200,Petrol,Manual,First Owner
194,Maruti Suzuki Alto,2013,125000,39000,Petrol,Manual,Second Owner
195,Maruti Suzuki Wagon,2009,135000,45000,Petrol,Manual,First Owner
196,Maruti Suzuki Swift,2006,135000,45000,Petrol,Manual,First Owner
197,Tata Sumo Victa,2012,285000,65000,Diesel,Manual,First Owner
198,Maruti Suzuki Wagon,2010,145000,54870,Petrol,Automatic,First Owner
199,Maruti Suzuki Alto,2010,135000,34580,Petrol,Manual,First Owner
200,Volkswagen Passat Diesel,2009,450000,97000,Diesel,Manual,First Owner
201,Renault Scala RxL,2015,375000,25000,Diesel,Automatic,First Owner
202,Mahindra Quanto C8,2013,375000,20000,Diesel,Manual,First Owner
203,Hyundai Grand i10,2014,365000,20000,Petrol,Manual,First Owner
204,Hyundai i20 Active,2015,500000,18000,Petrol,Manual,Second Owner
205,Mahindra Xylo E4,2012,400000,35000,Diesel,Manual,First Owner
206,Mahindra Jeep MM,2019,390000,60,Diesel,Manual,First Owner
207,Renault Duster 110PS,2012,501000,35000,Diesel,Automatic,First Owner
208,Mahindra Bolero SLE,2013,330000,80200,Diesel,Manual,First Owner
209,Force Motors Force,2015,580000,3200,Diesel,Automatic,First Owner
210,Maruti Suzuki SX4,2012,265000,46000,Diesel,Manual,First Owner
211,Mahindra Jeep CL550,2019,379000,0,Diesel,Manual,Second Owner
212,Maruti Suzuki Alto,2015,219000,5000,Petrol,Manual,First Owner
213,Mahindra Jeep CL550,2018,385000,588,Diesel,Manual,Second Owner
214,Toyota Etios,2011,275000,36000,Diesel,Manual,First Owner
215,Volkswagen Polo,2015,330000,38000,Diesel,Manual,First Owner
216,Honda City ZX,2008,110000,45000,Petrol,Manual,First Owner
217,Maruti Suzuki Wagon,2006,80000,71200,Petrol,Manual,Second Owner
218,Honda City VX,2016,519000,52000,Diesel,Manual,First Owner
219,Mahindra Thar CRDe,2016,730000,29000,Diesel,Manual,Second Owner
220,Mitsubishi Pajero Sport,2015,1475000,47000,Diesel,Manual,First Owner
221,Audi A4 1.8,2009,699000,47000,Petrol,Manual,First Owner
222,Mercedes Benz GLA,2015,2000000,20000,Diesel,Manual,First Owner
223,Land Rover Freelander,2015,2100000,30000,Diesel,Manual,First Owner
224,Renault Kwid RXT,2017,340000,5000,Petrol,Manual,First Owner
225,Tata Aria Pleasure,2014,390000,35000,Diesel,Manual,Second Owner
226,Mercedes Benz B,2014,1400000,31000,Petrol,Manual,Second Owner
227,Datsun GO T,2016,245000,7000,Petrol,Manual,First Owner
228,Tata Indigo eCS,2016,320000,175430,Diesel,Manual,First Owner
229,Tata Indigo eCS,2016,320000,175400,Diesel,Manual,First Owner
230,Honda Jazz VX,2016,450000,41000,Petrol,Manual,First Owner
231,Honda Amaze 1.2,2014,311000,33000,Petrol,Manual,First Owner
232,Honda Amaze,2013,284999,46000,Diesel,Manual,First Owner
233,Honda City,2012,399999,45000,Petrol,Manual,Second Owner
234,Honda City,2015,599999,39000,Diesel,Manual,First Owner
235,Honda Amaze,2015,344999,22000,Petrol,Manual,First Owner
236,Audi A4 1.8,2009,699000,47000,Petrol,Manual,First Owner
237,Force Motors Force,2015,580000,3200,Diesel,Automatic,First Owner
238,Mahindra Scorpio S4,2015,855000,30000,Diesel,Manual,Second Owner
239,Hyundai i20 Active,2015,535000,37000,Diesel,Manual,Second Owner
240,Mini Cooper S,2013,1891111,13000,Petrol,Manual,First Owner
241,Maruti Suzuki Ciaz,2017,699000,14000,Petrol,Manual,Second Owner
242,Chevrolet Tavera Neo,2013,375000,55000,Diesel,Manual,Second Owner
243,Honda Amaze,2013,284999,46000,Diesel,Manual,Second Owner
244,Hyundai Eon Sportz,2012,178000,30000,Petrol,Manual,First Owner
245,Tata Sumo Gold,2013,300000,50000,Diesel,Manual,First Owner
246,Maruti Suzuki Wagon,2003,90000,45000,Petrol,Manual,First Owner
247,Maruti Suzuki Esteem,2006,95000,45000,Petrol,Manual,First Owner
248,Maruti Suzuki Eeco,2015,255000,9300,Petrol,Automatic,First Owner
249,Chevrolet Enjoy 1.4,2013,245000,55000,Diesel,Manual,First Owner
250,Hyundai i20 Asta,2012,329500,36200,Diesel,Manual,First Owner
251,Ford Figo Diesel,2014,195000,50000,Diesel,Manual,First Owner
252,Maruti Suzuki Eeco,2015,251111,55000,Petrol,Manual,First Owner
253,Maruti Suzuki Ertiga,2014,569999,45000,Petrol,Manual,Second Owner
254,Maruti Suzuki Esteem,2007,69999,51000,Petrol,Manual,First Owner
255,Maruti Suzuki Ritz,2014,299999,19000,Petrol,Manual,Second Owner
256,Maruti Suzuki Dzire,2009,220000,46000,Petrol,Manual,Second Owner
257,Maruti Suzuki Ritz,2013,399999,33000,Diesel,Manual,First Owner
258,Maruti Suzuki SX4,2010,249999,36000,Petrol,Automatic,Second Owner
259,Maruti Suzuki Wagon,2015,289999,22000,Petrol,Manual,First Owner
260,Mini Cooper S,2013,1891111,13500,Petrol,Manual,First Owner
261,Nissan Terrano XL,2015,499999,60000,Diesel,Manual,First Owner
262,Renault Duster 85,2013,489999,27000,Diesel,Manual,First Owner
263,Renault Duster 85,2014,489999,59000,Diesel,Manual,First Owner
264,Renault Duster 85,2015,549999,19000,Diesel,Manual,First Owner
265,Maruti Suzuki Dzire,2013,380000,30000,Petrol,Manual,First Owner
266,Renault Kwid RXT,2018,325000,15000,Petrol,Manual,Fourth & Above Owner
267,Maruti Suzuki Maruti,2003,57000,56758,Petrol,Manual,First Owner
268,Renault Kwid 1.0,2018,349999,10000,Petrol,Manual,First Owner
269,Renault Lodgy 85,2018,689999,20000,Diesel,Manual,First Owner
270,Renault Scala RxL,2014,349999,49000,Diesel,Manual,First Owner
271,Hyundai Grand i10,2014,410000,41000,Petrol,Manual,Third Owner
272,Maruti Suzuki Swift,2011,225000,45000,Petrol,Manual,First Owner
273,Chevrolet Beat LS,2010,120000,43000,Petrol,Automatic,First Owner
274,Tata Indigo eCS,2016,320000,175430,Diesel,Manual,First Owner
275,Hyundai Santro Xing,2000,59000,56450,Petrol,Manual,Second Owner
276,Hyundai Fluidic Verna,2015,540000,38000,Diesel,Manual,Third Owner
277,Chevrolet Beat LS,2010,80000,56000,Petrol,Manual,Second Owner
278,Mahindra Quanto C8,2013,340000,37000,Diesel,Automatic,First Owner
279,Fiat Petra ELX,2008,75000,65000,Petrol,Manual,First Owner
280,Chevrolet Beat LS,2015,220000,32700,Petrol,Manual,First Owner
281,Skoda Fabia 1.2L,2011,159500,38200,Diesel,Manual,First Owner
282,Ford EcoSport Titanium,2016,599000,30000,Diesel,Automatic,First Owner
283,Hyundai Accent GLX,2006,80000,56000,Petrol,Manual,First Owner
284,Mahindra TUV300 T4,2016,675000,9000,Diesel,Manual,Second Owner
285,Mini Cooper S,2013,1891111,13000,Petrol,Manual,First Owner
286,Mini Cooper S,2013,1891111,13000,Petrol,Manual,First Owner
287,Tata Indica V2,2008,150000,11000,Petrol,Manual,First Owner
288,Mini Cooper S,2013,1891111,13000,Petrol,Manual,First Owner
289,Tata Indigo CS,2009,72500,46000,Diesel,Manual,First Owner
290,Maruti Suzuki Swift,2019,610000,73,Petrol,Manual,Second Owner
291,Mahindra Scorpio VLX,2004,230000,160000,Diesel,Manual,First Owner
292,Honda Accord,2009,175000,58559,Petrol,Manual,Second Owner
293,Mahindra Scorpio S4,2015,855000,30000,Diesel,Manual,Second Owner
294,Chevrolet Tavera Neo,2013,375000,55000,Diesel,Manual,Second Owner
295,Ford EcoSport Titanium,2014,520000,57000,Diesel,Manual,Third Owner
296,Maruti Suzuki Ertiga,2015,524999,50000,Diesel,Automatic,First Owner
297,Honda Amaze,2014,299999,37000,Petrol,Manual,First Owner
298,Maruti Suzuki Dzire,2012,299999,40000,Petrol,Manual,First Owner
299,Honda City,2011,284999,55000,Petrol,Manual,First Owner
300,Mahindra Scorpio 2.6,2007,220000,170000,Diesel,Manual,Third Owner
301,Maruti Suzuki Dzire,2014,424999,55000,Diesel,Manual,Second Owner
302,Honda City,2015,644999,39000,Petrol,Manual,First Owner
303,Honda Mobilio,2014,399999,44000,Petrol,Manual,Third Owner
304,Toyota Corolla Altis,2009,199999,65000,Petrol,Manual,First Owner
305,Honda City,2014,584999,39000,Petrol,Manual,Second Owner
306,Skoda Laura,2012,349999,44000,Diesel,Manual,First Owner
307,Renault Duster,2015,449999,49000,Diesel,Manual,First Owner
308,Maruti Suzuki Ertiga,2018,799999,9000,Diesel,Manual,First Owner
309,Maruti Suzuki Dzire,2015,444999,45000,Diesel,Manual,First Owner
310,Mahindra XUV500,2014,649999,47000,Diesel,Automatic,First Owner
311,Hyundai Verna Fluidic,2012,444999,40000,Diesel,Manual,Third Owner
312,Maruti Suzuki Vitara,2016,689999,29000,Diesel,Automatic,First Owner
313,Maruti Suzuki Wagon,2016,344999,15000,Petrol,Manual,First Owner
314,Mahindra Scorpio,2015,944999,45000,Diesel,Manual,Fourth & Above Owner
315,Honda Amaze,2014,274999,35000,Petrol,Manual,Fourth & Above Owner
316,Mahindra XUV500,2013,689999,80000,Diesel,Manual,First Owner
317,Mahindra Scorpio,2013,574999,68000,Diesel,Manual,Third Owner
318,Skoda Laura,2013,374999,50000,Diesel,Manual,Third Owner
319,Volkswagen Polo,2010,199999,60000,Diesel,Manual,First Owner
320,Hyundai Elite i20,2016,549999,9000,Petrol,Manual,Fourth & Above Owner
321,Tata Manza Aura,2012,130000,72000,Diesel,Manual,Second Owner
322,Chevrolet Sail UVA,2013,210000,60000,Petrol,Manual,Second Owner
323,Renault Duster 110,2012,501000,38000,Diesel,Manual,Second Owner
324,Hyundai Verna Fluidic,2013,401000,45000,Diesel,Manual,Fourth & Above Owner
325,Audi A4 2.0,2012,1350000,40000,Diesel,Manual,Fourth & Above Owner
326,Hyundai Elantra SX,2013,600000,20000,Petrol,Manual,Second Owner
327,Mahindra Scorpio VLX,2013,610000,35000,Diesel,Manual,Third Owner
328,Mahindra KUV100 K8,2016,400000,20000,Diesel,Manual,Third Owner
329,Renault Scala RxL,2015,375000,25000,Diesel,Manual,First Owner
330,Mahindra Quanto C8,2013,375000,20000,Diesel,Manual,Second Owner
331,Hyundai Grand i10,2014,365000,20000,Petrol,Manual,Second Owner
332,Hyundai i20 Active,2015,500000,18000,Petrol,Manual,First Owner
333,Mahindra Xylo E4,2012,400000,35000,Diesel,Automatic,First Owner
334,Hyundai Grand i10,2017,524999,6821,Petrol,Manual,First Owner
335,Hyundai i20,2014,449999,23000,Petrol,Manual,First Owner
336,Hyundai Eon,2014,174999,14000,Petrol,Manual,First Owner
337,Hyundai i10,2012,244999,38000,Petrol,Manual,First Owner
338,Hyundai i20 Active,2015,574999,35000,Diesel,Manual,First Owner
339,Datsun Redi GO,2017,244999,22000,Petrol,Manual,First Owner
340,Toyota Etios Liva,2011,239999,41000,Petrol,Manual,First Owner
341,Hyundai Accent,2010,99999,45000,Petrol,Manual,First Owner
342,Hyundai Verna,2014,489999,44000,Diesel,Manual,Second Owner
343,Maruti Suzuki Swift,2013,324999,45000,Diesel,Manual,First Owner
344,Toyota Fortuner,2011,1074999,52000,Diesel,Manual,First Owner
345,Hyundai i10 Sportz,2012,230000,34000,Petrol,Manual,First Owner
346,Mahindra Bolero Power,2018,699000,1800,Diesel,Manual,Fourth & Above Owner
347,Mahindra XUV500,2015,1000000,15000,Diesel,Automatic,First Owner
348,Honda City 1.5,2010,240000,400000,Petrol,Automatic,First Owner
349,Chevrolet Spark LT,2009,110000,44000,Petrol,Manual,First Owner
350,Mahindra Jeep MM,2019,390000,60,Diesel,Manual,First Owner
351,Renault Duster 110PS,2012,501000,35000,Diesel,Manual,First Owner
352,Mahindra XUV500,2016,1130000,72000,Diesel,Manual,Second Owner
353,Tata Indigo eCS,2014,250000,40000,Diesel,Manual,Fourth & Above Owner
354,Mahindra Bolero SLE,2013,330000,80200,Diesel,Automatic,First Owner
355,Force Motors Force,2015,580000,3200,Diesel,Automatic,First Owner
356,Skoda Rapid Elegance,2013,340000,48000,Diesel,Automatic,First Owner
357,Tata Vista Quadrajet,2011,120000,90000,Diesel,Automatic,First Owner
358,Maruti Suzuki Alto,2015,265000,12000,Petrol,Manual,First Owner
359,Maruti Suzuki SX4,2012,265000,46000,Diesel,Automatic,First Owner
360,Maruti Suzuki Zen,2003,85000,69900,Petrol,Automatic,First Owner
361,Mahindra Jeep CL550,2019,379000,0,Diesel,Manual,First Owner
362,Hyundai i10 Magna,2011,175000,45000,Petrol,Manual,First Owner
363,Maruti Suzuki Alto,2015,219000,5000,Petrol,Manual,First Owner
364,Maruti Suzuki Swift,2016,350000,166000,Diesel,Manual,Second Owner
365,Honda City ZX,2008,149000,42000,Petrol,Automatic,First Owner
366,Mahindra Jeep CL550,2018,385000,588,Diesel,Manual,First Owner
367,Mahindra Jeep MM,2006,425000,122,Diesel,Automatic,First Owner
368,Chevrolet Beat Diesel,2017,150000,62000,Diesel,Manual,First Owner
369,Honda City 1.5,2010,225000,70000,Petrol,Automatic,First Owner
370,Hyundai Verna 1.4,2014,375000,36000,Petrol,Automatic,First Owner
371,Toyota Innova 2.5,2012,770000,0,Diesel,Automatic,First Owner
372,Maruti Suzuki Maruti,1995,30000,55000,Petrol,Manual,Third Owner
373,Toyota Etios,2011,275000,36000,Diesel,Manual,Third Owner
374,Volkswagen Polo,2015,330000,38000,Diesel,Automatic,Second Owner
